Common Name,Scientific Name,Scientific Name_url,ESA Listing Status,Entity Description,ESA Listing Date,Lead Agency,Entity Description,ESA Listing Status,Region Description,Region Name,Region Name_url
Aaa water treader bug,Cavaticovelia aaa,https://ecos.fws.gov/ecp/species/8146,Species of Concern,Wherever found,,FWS,Wherever found,Species of Concern,Pacific Region,Region 1,https://www.fws.gov/about/region/pacific/
Aalbu's cave pseudoscorpion,Archeolarca aalbui,https://ecos.fws.gov/ecp/species/6406,Species of Concern,Wherever found,,FWS,Wherever found,Species of Concern,Pacific Region,Region 1,https://www.fws.gov/about/region/pacific/
Aardhals springsnail,Pyrgulopsis aardahli,https://ecos.fws.gov/ecp/species/4789,Species of Concern,Wherever found,,FWS,Wherever found,Species of Concern,Pacific Region,Region 1,https://www.fws.gov/about/region/pacific/
Aase's onion,Allium aaseae,https://ecos.fws.gov/ecp/species/2608,Species of Concern,Wherever found,,FWS,Wherever found,Species of Concern,Pacific Region,Region 1,https://www.fws.gov/about/region/pacific/
Abajo daisy,Erigeron abajoensis,https://ecos.fws.gov/ecp/species/6559,Resolved Taxon,Wherever found,,FWS,Wherever found,Resolved Taxon,Mountain Prairie Region,Region 6,https://www.fws.gov/about/region/mountain-prairie/
Abbott's booby,Papasula (=Sula) abbotti,https://ecos.fws.gov/ecp/species/1470,Endangered,Wherever found,6/14/1976,FWS,Wherever found,Endangered,Foreign,Region 10,null
Abbott's bush-mallow,Malacothamnus abbottii,https://ecos.fws.gov/ecp/species/8385,Species of Concern,Wherever found,,FWS,Wherever found,Species of Concern,Pacific Region,Region 1,https://www.fws.gov/about/region/pacific/
Abellan hydropsyche caddisfly,Ceratopsyche abella,https://ecos.fws.gov/ecp/species/2321,Species of Concern,Wherever found,,FWS,Wherever found,Species of Concern,Pacific Region,Region 1,https://www.fws.gov/about/region/pacific/
Aboriginal Prickly-apple,Harrisia (=Cereus) aboriginum (=gracilis),https://ecos.fws.gov/ecp/species/2833,Endangered,,11/25/2013,FWS,,Endangered,Southeast Region,Region 4,https://www.fws.gov/about/region/southeast/
Absaroka beardtongue,Penstemon absarokensis,https://ecos.fws.gov/ecp/species/3365,Resolved Taxon,Wherever found,,FWS,Wherever found,Resolved Taxon,Mountain Prairie Region,Region 6,https://www.fws.gov/about/region/mountain-prairie/
Acadian Flycatcher,Empidonax virescens,https://ecos.fws.gov/ecp/species/9413,Species of Concern,Wherever found,,FWS,Wherever found,Species of Concern,Mountain Prairie Region,Region 6,https://www.fws.gov/about/region/mountain-prairie/
A Cave Obligate amphipod,Stygobromus obscurus,https://ecos.fws.gov/ecp/species/10280,Resolved Taxon,Wherever found,,FWS,Wherever found,Resolved Taxon,Mountain Prairie Region,Region 6,https://www.fws.gov/about/region/mountain-prairie/
A Cave Obligate Harvestman,Cryptobunus cavicolus,https://ecos.fws.gov/ecp/species/10365,Resolved Taxon,Wherever found,,FWS,Wherever found,Resolved Taxon,Mountain Prairie Region,Region 6,https://www.fws.gov/about/region/mountain-prairie/
A Cave Obligate Harvestman,Hesperonemastoma packardi,https://ecos.fws.gov/ecp/species/10367,Resolved Taxon,Wherever found,,FWS,Wherever found,Resolved Taxon,Mountain Prairie Region,Region 6,https://www.fws.gov/about/region/mountain-prairie/
A Cave Obligate Pseudoscorpion,Tyrannochthonius troglodytes,https://ecos.fws.gov/ecp/species/10369,Resolved Taxon,Wherever found,,FWS,Wherever found,Resolved Taxon,Southwest Region,Region 2,https://www.fws.gov/about/region/southwest/
A Cave Obligate Shrimp,sphaeromicola moria,https://ecos.fws.gov/ecp/species/8917,Resolved Taxon,Wherever found,,FWS,Wherever found,Resolved Taxon,Southwest Region,Region 2,https://www.fws.gov/about/region/southwest/
Acklins ground iguana,Cyclura rileyi nuchalis,https://ecos.fws.gov/ecp/species/27,Threatened,Wherever found,6/22/1983,FWS,Wherever found,Threatened,Foreign,Region 10,null
