Common Name,Scientific Name,Scientific Name_url,Status,Date Listed,Lead Region,Where Listed
"Abbott's booby","Papasula (=Sula) abbotti","https://ecos.fws.gov/ecp/species/1470","columnId:cn","source:/species@cn","N/A","N/A"
"Aboriginal Prickly-apple","Harrisia (=Cereus) aboriginum (=gracilis)","https://ecos.fws.gov/ecp/species/2833","columnId:cn","source:/species@cn","N/A","N/A"
"Acklins ground iguana","Cyclura rileyi nuchalis","https://ecos.fws.gov/ecp/species/27","Threatened","06-22-1983","N/A","N/A"
"Acuña Cactus","Echinomastus erectocentrus var. acunensis","https://ecos.fws.gov/ecp/species/5785","Endangered","10-31-2013","N/A","N/A"
"Addax","Addax nasomaculatus","https://ecos.fws.gov/ecp/species/1486","Endangered","03-19-2014","N/A","N/A"
"Adriatic sturgeon","Acipenser naccarii","https://ecos.fws.gov/ecp/species/9747","Endangered","09-04-2014","N/A","N/A"
"A`e","Zanthoxylum dipetalum var. tomentosum","https://ecos.fws.gov/ecp/species/2297","Endangered","10-10-1996","N/A","N/A"
"A`e","Zanthoxylum hawaiiense","https://ecos.fws.gov/ecp/species/4645","Endangered","03-04-1994","N/A","N/A"
"A`e","Zanthoxylum oahuense","https://ecos.fws.gov/ecp/species/7998","Endangered","10-18-2012","N/A","N/A"
"African coelacanth","Latimeria chalumnae","https://ecos.fws.gov/ecp/species/10533","Threatened","04-28-2016","N/A","N/A"
"African dwarf crocodile","Osteolaemus tetraspis tetraspis","https://ecos.fws.gov/ecp/species/7629","Endangered","06-14-1976","N/A","N/A"
"African elephant","Loxodonta africana","https://ecos.fws.gov/ecp/species/7724","Threatened","06-11-1978","N/A","N/A"
"African penguin","Spheniscus demersus","https://ecos.fws.gov/ecp/species/6711","Endangered","10-29-2010","N/A","N/A"
"African slender-snouted crocodile","Crocodylus cataphractus","https://ecos.fws.gov/ecp/species/4118","Endangered","03-28-1972","N/A","N/A"
